,post_text,post_id,like,love,haha,wow,sad,angry,care,shares,comments,reaction_count,Day,date,hour,time
44,"Shantae Advance: Risky Revolution by Wayforward is back in development after 20 years and coming to Nintendo Switch in 2024! Featuring rearrangeable stages and 4-player Battle Mode!

Wishlist today:
http://ninten.do/6188i8gYI",655084203470771,502.0,155.0,1.0,16.0,0.0,0.0,14.0,97,41,688,Wednesday,2023-11-15,0,2023-11-15 00:08:31
45,"Your letter from Hogwarts has arrived! Learn spells, brew potions, tend to magical beasts and explore the wizarding world on the go with Nintendo Switch.

Play Hogwarts Legacy today - http://ninten.do/6183i8DFf",654983130147545,1582.0,737.0,30.0,24.0,1.0,5.0,19.0,402,293,2398,Tuesday,2023-11-14,21,2023-11-14 21:01:06
46,"In Super Mario RPG, each character has unique abilities that help power up your party!

Mario’s a great all-arounder, Princess Peach has special healing moves and attacks, and Geno can deal damage while also raising the party’s stats.

Which combination of characters will you use?",654551960190662,1020.0,419.0,2.0,11.0,0.0,0.0,23.0,83,145,1475,Tuesday,2023-11-14,2,2023-11-14 02:00:01
47,Take a break from scrolling and enjoy some uninterrupted Pikmin cuteness!,654509300194928,253.0,108.0,2.0,3.0,0.0,1.0,6.0,33,17,373,Tuesday,2023-11-14,0,2023-11-14 00:00:25
48,"A new Indie World Showcase is airing tomorrow, Nov. 14 at 9:00 a.m. PT! Tune in for roughly 20 minutes of new announcements and updates on indie games coming to Nintendo Switch.

Watch it live here: http://ninten.do/6181iBe3Z",654433666869158,608.0,175.0,2.0,12.0,0.0,1.0,15.0,179,96,813,Monday,2023-11-13,21,2023-11-13 21:00:00
49,Sweet! Super Mario RPG is coming to Nintendo Switch in just 5 days! 💖,654059510239907,2220.0,938.0,9.0,20.0,0.0,0.0,50.0,339,213,3237,Monday,2023-11-13,2,2023-11-13 02:00:01
50,"In Super Mario RPG, you’ll use Action Commands to maximize the damage you dish out and minimize the damage you take!

Each attack is different, but look out for the little exclamation point to know when you should press the button.",653551796957345,1960.0,668.0,4.0,12.0,1.0,1.0,26.0,155,311,2672,Sunday,2023-11-12,2,2023-11-12 02:00:08
51,Bwa ha ha! Only 1 week until Super Mario RPG comes to Nintendo Switch!,652985357013989,2423.0,1014.0,2.0,32.0,0.0,0.0,47.0,455,260,3518,Saturday,2023-11-11,2,2023-11-11 02:00:00
52,"The Mario Kart 8 Deluxe - Booster Course Pass is now complete! ✨

Who is your favorite character to hit the course with?",652966520349206,4359.0,2554.0,3.0,20.0,23.0,1.0,108.0,530,698,7068,Saturday,2023-11-11,1,2023-11-11 01:00:00
53,Hisuian Typhlosion with the Mightiest Mark is now appearing in black crystal Tera Raid Battles throughout Pokémon Scarlet and Pokémon Violet!,652538527058672,357.0,79.0,2.0,6.0,0.0,0.0,4.0,27,36,448,Friday,2023-11-10,7,2023-11-10 07:00:00
54,"Wave 6 of the Mario Kart 8 Deluxe – Booster Course Pass is here!

With this final wave, 48 additional courses and 8 more playable characters are included as part of the Booster Course Pass!

Available individually as paid DLC, or included as a part of the Nintendo Switch Online + Expansion Pack.

http://ninten.do/618194mXT",652433103735881,2505.0,948.0,4.0,30.0,2.0,1.0,35.0,400,482,3525,Friday,2023-11-10,2,2023-11-10 02:00:01
55,"Does your coffee mysteriously get cold? Solve the case with this adorable Detective Pikachu Returns Cup Cozy! You can redeem your My Nintendo Platinum Points to get this cute and cozy item.

http://ninten.do/61879Cqjb",652422443736947,336.0,89.0,2.0,6.0,0.0,0.0,5.0,34,31,438,Friday,2023-11-10,1,2023-11-10 01:30:01
56,"Race, outlast, and try not to crash! Have you managed to snag first place in F-ZERO 99 yet?",652411120404746,322.0,75.0,1.0,1.0,0.0,0.0,2.0,30,30,401,Friday,2023-11-10,1,2023-11-10 01:00:21
